timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,synthetic_time_ms,event,prediction_float,prediction_binary
324343516895304,12.945449,-8.4587145,-0.60333884,3.6505308,-2.4410176,4.148997,561160,,0.006724423,0.0
324343536967612,15.133749,-8.506598,-1.3599066,4.5399504,-2.4984388,4.5191813,561180,,0.006724423,0.0
324343556956881,16.864758,-8.157045,-1.9249382,4.94923,-2.3383923,4.7659707,561200,,0.006724423,0.0
324343577013535,18.066647,-8.101978,-2.0254946,4.8649306,-2.057394,4.866153,561220,,0.006724423,0.0
324343596998881,19.294872,-8.4108305,-1.8243817,4.664567,-1.6371188,4.9309044,561240,,0.006724423,0.0
324343617053381,20.238188,-8.429984,-1.3431472,4.4324384,-1.2082914,4.917465,561260,,0.006724423,0.0
324343637036996,20.817583,-8.3150625,-0.7469909,4.129449,-0.73548174,4.787962,561280,,0.006724423,0.0
324343657089842,20.748152,-7.9463553,-0.33518824,3.8692205,-0.35185838,4.6743407,561300,,0.006724423,0.0
324343677083458,19.816807,-7.053318,-0.545878,3.3719761,0.05131268,4.5497246,561320,,0.006724423,0.0
324343697144111,18.574217,-5.9878983,-0.088585466,2.7232373,0.38606682,4.442212,561340,,0.006724423,0.0
324343717131573,17.080235,-4.8817773,0.36152446,1.9511036,0.6230826,4.276057,561360,,0.006724423,0.0
324343737186957,14.681245,-3.763685,1.0989386,1.2119566,0.7672467,4.0732493,561380,,0.006724423,0.0
324343757172304,12.179304,-3.6655228,2.480393,0.33475417,0.8051204,3.7446039,561400,,0.006724423,0.0
324343777229073,10.292673,-4.220978,3.3207579,-0.012217305,0.70371675,3.3927455,561420,,0.006724423,0.0
324343797221111,9.631873,-4.6830587,3.952827,0.18448131,0.54611355,3.095865,561440,,0.006724423,0.0
324343817278265,9.176975,-4.498705,4.0533834,0.68783426,0.41172317,2.8539624,561460,,0.006724423,0.0
324343837267611,8.853758,-3.53863,3.8187518,1.3439035,0.25534168,2.4764478,561480,,0.006724423,0.0
324343857320034,8.494628,-2.9592333,3.8187518,1.7214183,0.17348573,2.067168,561500,,0.006724423,0.0
324343877306995,8.190564,-2.5450363,4.1635165,1.8374827,0.13561209,1.6884315,561520,,0.006724423,0.0
324343897362688,13.165715,-4.000711,7.0700774,2.5167649,-0.5314528,2.067168,561540,,0.006724423,0.0
324343917352226,1.6304513,0.47405192,8.1642275,3.4709363,-0.096516706,1.078788,561560,,0.006724423,0.0
324343937406880,5.793968,0.9959879,4.429273,2.3176227,0.34208453,1.2559389,561580,,0.006724423,0.0
324343957417149,3.6367924,-1.5227122,4.606444,1.6578883,0.59864795,0.6291912,561600,,0.006724423,0.0
324343977473187,3.064578,-3.1771057,3.8115692,1.582141,0.61208695,0.22724187,561620,,0.006724423,0.0
324343997467149,2.6886885,-2.528277,4.4077253,1.4416419,0.5876524,-0.095294975,561640,,0.006724423,0.0
324344017526879,3.0669725,-3.8283286,5.45878,1.831374,0.5290093,-0.4007276,561660,,0.006724423,0.0
324344037524379,3.5075054,-2.4708161,4.8458643,1.105666,0.64873886,-0.593761,561680,,0.006724423,0.0
324344057578725,3.6822822,-2.6527755,6.363788,0.18692477,0.7086037,-0.36041048,561700,,0.006724423,0.0
324344077573379,1.7956513,-3.2704794,7.536947,0.32375857,0.6462954,-0.31031954,561720,,0.006724423,0.0
324344097625802,4.0821137,-2.597709,6.789956,0.25534168,0.5717699,-0.43493605,561740,,0.006724423,0.0
324344117618841,3.478775,-2.0614076,6.5337763,-0.32986724,0.6243043,-0.5155703,561760,,0.006724423,0.0
324344137670917,3.098097,-3.6822822,6.8641763,-0.65240407,0.5534439,-0.75502944,561780,,0.006724423,0.0
324344157652879,3.0550013,-3.940856,6.9360023,-0.5888741,0.4886922,-0.91751957,561800,,0.006724423,0.0
324344177728417,4.271256,-3.9073372,7.156269,-1.0995574,0.4813618,-0.97494096,561820,,0.006724423,0.0
324344197704456,3.6272156,-4.759673,7.0724716,-1.205848,0.5412266,-1.1349876,561840,,0.006724423,0.0
324344217760148,3.9432502,-3.7205894,6.2752028,-1.3891076,0.5705481,-1.1826351,561860,,0.006724423,0.0
324344237752263,4.185065,-4.735731,6.3709707,-1.7935003,0.6072,-1.2046263,561880,,0.006724423,0.0
324344257806109,3.9839516,-5.4539914,6.4619503,-1.9034561,0.68539083,-1.2608259,561900,,0.006724423,0.0
324344277805148,3.787627,-5.7029886,5.9400144,-2.1087067,0.77946407,-1.2327261,561920,,0.006724423,0.0
324344297864225,4.2161894,-6.373365,5.741296,-2.284636,0.8503244,-1.0983357,561940,,0.006724423,0.0
324344317852571,3.1244333,-6.2464724,5.33907,-2.1038198,0.8943067,-1.0238101,561960,,0.006724423,0.0
324344337904417,2.4037786,-6.8067155,5.0062757,-1.8594738,0.8417723,-0.9297369,561980,,0.006724423,0.0
324344357904417,3.0262709,-7.773973,5.439626,-1.5528195,0.5729916,-0.9443977,562000,,0.006724423,0.0
324344377940493,3.5075054,-7.1849995,5.3486466,-1.210735,0.4642576,-0.7965683,562020,,0.006724423,0.0
324344397969070,3.0621839,-7.819463,5.9807158,-1.0348058,0.3848451,-0.72692966,562040,,0.006724423,0.0
324344418043147,3.3542767,-7.345411,5.935226,-1.0580186,0.35918877,-0.73426,562060,,0.027830565,0.0
324344438042147,2.552219,-7.9487495,5.8945246,-1.1081096,0.31642818,-0.8332202,562080,,0.027830565,0.0
324344458117493,2.9879637,-8.157045,6.1626754,-0.9822713,0.26389378,-0.97005403,562100,,0.027830565,0.0
324344478101839,1.99437,-8.252813,5.9639564,-0.9077458,0.3359759,-1.0396926,562120,,0.027830565,0.0
324344498159378,2.1763294,-8.702923,5.7149596,-0.7452556,0.3408628,-0.9260717,562140,,0.027830565,0.0
324344518166301,2.9640217,-8.152257,5.841852,-0.4886922,0.27366763,-0.7501425,562160,,0.027830565,0.0
324344538223339,3.7205894,-7.8984714,5.4683566,-0.54367006,0.36774087,-0.643852,562180,,0.027830565,0.0
324344558228993,3.7421372,-8.303091,4.9895163,-0.5510005,0.3555236,-0.5497787,562200,,0.027830565,0.0
324344578280570,3.6272156,-8.76996,3.7014358,-0.5876524,0.3359759,-0.4202753,562220,,0.027830565,0.0
324344598271416,3.3997664,-8.856153,2.8514943,-0.6133087,0.08674286,-0.17959438,562240,,0.027830565,0.0
324344618313762,3.1507695,-7.929596,3.3063924,-0.75869465,-0.014660766,0.16249016,562260,,0.027830565,0.0
324344638318031,2.5067291,-7.654263,3.0454245,-1.3842206,0.065973446,0.21013765,562280,,0.027830565,0.0
324344658365800,2.5210943,-8.916007,2.291251,-1.8704693,0.0061086523,0.17348573,562300,,0.027830565,0.0
324344678365915,2.6647465,-10.019734,2.3918076,-1.921782,-0.13316862,0.21746802,562320,,0.027830565,0.0
324344698413800,2.1404164,-10.979809,2.1499932,-1.754405,-0.23701571,0.31887165,562340,,0.027830565,0.0
324344718410069,2.3104045,-12.140997,2.3104045,-1.3072516,-0.44715336,0.50701815,562360,,0.027830565,0.0
324344738455223,3.620033,-11.286267,2.1021092,-0.75625116,-0.5742133,0.8552113,562380,,0.027830565,0.0
324344758453877,3.3566709,-10.304645,0.6919243,-0.548557,-0.5693264,0.98837996,562400,,0.027830565,0.0
324344778497338,2.1667526,-11.216835,0.21308395,-0.3921755,-0.81245077,1.1166617,562420,,0.027830565,0.0
324344798489223,2.7365725,-11.6430025,2.755726,-0.15149458,-1.0677924,1.4990633,562440,,0.027830565,0.0
